,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0,photo_link
0,Recep Tayyip Erdoğan,@RTErdogan,2024-02-03T13:55:11.000Z,True,Hatay Deprem Konutları Kura ve Anahtar Teslim Töreni,289,1.1K,2.8K,128K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753779167089263073,tweet_id:1753779167089263073,,,,
1,Alparslan Bayraktar,@aBayraktar1,2024-02-03T12:12:51.000Z,True,"Bu toprakların yetiştirdiği en önemli aydınlardan olan, eserleri ve fikirleri ile ülkemizin geleceğine ışık tutan değerli Alev Alatlı hocamızı ebediyete uğurladık. 

Kıymetli hocamıza Allah’tan rahmet, ailesine ve sevenlerine başsağlığı diliyorum.

Milletimizin başı sağ olsun.",4,23,162,5.7K,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1753753412280197161,tweet_id:1753753412280197161,https://pbs.twimg.com/media/GFaVWDjW4AAHRBp?format=jpg&name=360x360,,,
2,Alparslan Bayraktar,@aBayraktar1,2024-02-03T07:04:48.000Z,True,"Hepimizi derinden sarsan asrın felaketinin üzerinden tam bir yıl geçti. 

İlk günden itibaren devletimiz hızla yaraları sarmak için tüm gücüyle vatandaşımızın yanında oldu. 

Depremden etkilenen şehirlerimizi ayağa kaldırmak için de aralıksız çalışmaya devam ediyoruz.

Rabbim bir daha böyle acıları bizlere yaşatmasın.

Asrın Birlikteliği",12,177,396,130K,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1753675891127787813,tweet_id:1753675891127787813,https://pbs.twimg.com/ext_tw_video_thumb/1753674973783216128/pu/img/Uu7e5iHgOGAF0nE6.jpg,0.0,,
3,Alparslan Bayraktar,@aBayraktar1,2024-02-02T11:25:32.000Z,True,"Düşünce ve edebiyat dünyamızın değerli ismi Sayın Alev Alatlı'nın vefatını üzüntüyle öğrendim. Kendisine Allah'tan rahmet, yakınlarına ve sevenlerine sabırlar diliyorum.

Mekanı cennet olsun.",6,28,156,8.5K,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1753379119092432899,tweet_id:1753379119092432899,,1.0,0.0,
4,Alparslan Bayraktar,@aBayraktar1,2024-02-01T18:00:06.000Z,True,"Cumhurbaşkanımız Sayın ’ın Nijer Başbakanı Sayın Ali Mahamane Lamine Zeine’i kabulüne eşlik ettik.

Türkiye ve Nijer arasındaki iş birliklerinin enerji ve maden alanlarında da geliştirilmesini hedefliyoruz.",21,48,349,18K,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1753116023845212220,tweet_id:1753116023845212220,,2.0,1.0,https://pbs.twimg.com/media/GFRRnmCXcAACXyT?format=jpg&name=small
5,Alparslan Bayraktar,@aBayraktar1,2024-01-31T12:24:45.000Z,True,"Venezuela Petrol Bakanı Sayın Pedro Rafael Tellechea Ruiz ve Ekolojik Madencilik Gelişimi Bakanı Sayın William Serantes Pinto ile petrol, doğal gaz ve madencilik alanlarında iki ayrı mutabakat zaptı imzaladık. 

Attığımız imzaların iki ülke ilişkilerini daha da derinleştirecek sonuçlar doğurmasını temenni ediyorum.",20,76,372,27K,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1752669244515332581,tweet_id:1752669244515332581,,3.0,2.0,https://pbs.twimg.com/media/GFK7CLaXcAEj2i2?format=jpg&name=360x360
6,Alparslan Bayraktar,@aBayraktar1,2024-01-31T06:00:10.000Z,True,"Venezuela’da Ekolojik Madencilik Gelişimi Bakanı Sayın William Serantes Pinto ile de bir araya geldik.

Madencilik alanında yatırım ve iş birliği olanaklarını ele aldık. Eti Maden, MTA, TPIC gibi şirketlerimizin Venezuela'da faaliyet gösterebileceği alanlara ilişkin istişarede bulunduk.",14,63,365,26K,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1752572461944647895,tweet_id:1752572461944647895,,4.0,3.0,https://pbs.twimg.com/media/GFJjNnyWYAAROpX?format=jpg&name=360x360
7,Alparslan Bayraktar,@aBayraktar1,2024-01-30T11:18:57.000Z,True,"Cumhurbaşkanımız ve Genel Başkanımız Sayın  tarafından açıklanan seçim beyannamemiz, Türkiye Yüzyılı şehirleri için gerçek belediyeciliğin yol haritası olacak. 

Millete hizmet şiarıyla inşallah 31 Mart seçimlerini kazanacak, enerjisini doğadan alan şehirler inşa edeceğiz. Şehir ve mahalle ölçeğinde temiz enerji girişimlerine desteğimizle yenilenebilir ve sürdürülebilir enerjiyi şehirlerimizde daha yaygın hale getireceğiz. #GerçekBelediyecilik",16,42,277,19K,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1752290298036682843,tweet_id:1752290298036682843,,5.0,4.0,https://pbs.twimg.com/media/GFFioZrXEAAn8rL?format=jpg&name=360x360
8,Alparslan Bayraktar,@aBayraktar1,2024-01-29T10:50:00.000Z,True,"Dünya Bankası Operasyonlar Genel Müdürü Sayın Anna Bjerde ve beraberlerindeki heyet ile Bakanlığımızda bir araya geldik.

Görüşmede Türkiye’nin enerji dönüşümü sürecinde Dünya Bankası tarafından enerji sektörümüze nasıl daha fazla katkı sunulabileceğine ilişkin değerlendirmelerde bulunduk.",14,51,331,27K,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1751920622689538331,tweet_id:1751920622689538331,,6.0,5.0,https://pbs.twimg.com/media/GFASgsOWYAAXC6_?format=jpg&name=small
9,Alparslan Bayraktar,@aBayraktar1,2024-01-29T06:30:26.000Z,True,"Sakarya Gaz Sahası’nda günlük doğal gaz üretimimizi en kısa zamanda 10 milyon metreküpe, akabinde de nihai olarak günlük 40 milyon metreküpe çıkartacak ve 15 milyon hanemize doğal gazı buradan tedarik edeceğiz.",46,285,1.1K,101K,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1751855302817788079,tweet_id:1751855302817788079,,7.0,6.0,https://pbs.twimg.com/media/GE_UmH1X0AAvkky.jpg
