Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Alparslan Bayraktar,@aBayraktar1,2024-01-25T12:00:16.000Z,True,"Bugün itibarıyla lisanssız yenilenebilir yatırımları için 7 bin 500 megavatlık ilave kapasiteyi ilan ediyoruz.

Aynı tüketim noktası ve şehirdeki yatırımcılara belli bir kapasiteye kadar öncelik verilecek. Özellikle sanayicilerimiz, başta güneş ve rüzgar olmak üzere yenilenebilir…",37,216,759,223 B,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1750488757134925873,tweet_id:1750488757134925873
T.C. Enerji ve Tabii Kaynaklar Bakanlığı,@TCEnerji,2024-01-25T07:00:12.000Z,True,288 MW kurulu gücü ile Türkiye’nin en büyük rüzgar enerjisi santrali Soma RES.,8,63,208,13 B,[],[],[],https://pbs.twimg.com/profile_images/1665685804180557824/w7KK3v6Y_normal.jpg,https://twitter.com/TCEnerji/status/1750413242868854847,tweet_id:1750413242868854847
Alparslan Bayraktar,@aBayraktar1,2024-01-25T12:00:16.000Z,True,"Bugün itibarıyla lisanssız yenilenebilir yatırımları için 7 bin 500 megavatlık ilave kapasiteyi ilan ediyoruz.

Aynı tüketim noktası ve şehirdeki yatırımcılara belli bir kapasiteye kadar öncelik verilecek. Özellikle sanayicilerimiz, başta güneş ve rüzgar olmak üzere yenilenebilir…",37,216,759,223 B,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1750488757134925873,tweet_id:1750488757134925873
Recep Tayyip Erdoğan,@RTErdogan,2024-01-24T17:53:56.000Z,True,Türkiye-İran İş Forumu,1 B,3 B,9 B,348 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750215370101674004,tweet_id:1750215370101674004
Alparslan Bayraktar,@aBayraktar1,2024-01-24T17:09:39.000Z,True,"Cumhurbaşkanımız Sayın  ve İran Cumhurbaşkanı Sayın İbrahim Reisi’nin katılımı ile Cumhurbaşkanlığı Külliyesi’nde düzenlenen Türkiye-İran Yüksek Düzeyli İş Birliği Konseyi Sekizinci Toplantısı’na iştirak ettik. 

Toplantı sonrasında Bakanlığımız ile İran Petrol…",4,50,357,16 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1750204226448335235,tweet_id:1750204226448335235
Recep Tayyip Erdoğan,@RTErdogan,2024-01-24T15:59:50.000Z,True,İran Cumhurbaşkanı İbrahim Reisi ile Anlaşmaların İmza Töreni ve Ortak Basın Toplantısı,921,3 B,10 B,423 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750186655112126942,tweet_id:1750186655112126942
Alparslan Bayraktar,@aBayraktar1,2024-01-24T11:43:37.000Z,True,Cumhurbaşkanımız ve Genel Başkanımız Sayın ‘ın liderliğinde Ankara'yı yeniden eser siyaseti ile buluşturmak için #HazırızKararlıyızAnkara Büyükşehir Belediye Başkan Adayımız Sayın  başta olmak üzere tüm ilçe belediye başkan adaylarımızla Başkentimizi…,15,26,207,5 B,['#HazırızKararlıyız'],"['@RTErdogan', '@turgutaltinok06']",[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1750122178324926669,tweet_id:1750122178324926669
Alparslan Bayraktar,@aBayraktar1,2024-01-24T09:59:40.000Z,True,"Hollanda Büyükelçisi Sayın Joep Wijnands’ı Bakanlığımızda kabul ettik.

İki ülke arasındaki mevcut enerji iş birliklerini değerlendirerek özellikle yeşil enerji dönüşümü kapsamında ortak çalışma imkanlarını ele aldık.",6,39,233,11 B,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1750096019147141290,tweet_id:1750096019147141290
Recep Tayyip Erdoğan,@RTErdogan,2024-01-24T08:59:22.000Z,True,AK Parti Ankara İlçe Belediye Başkan Adayları Tanıtım Toplantısı,1 B,4 B,11 B,541 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750080843291213991,tweet_id:1750080843291213991
T.C. Enerji ve Tabii Kaynaklar Bakanlığı,@TCEnerji,2024-01-24T07:55:31.000Z,True,"Avrupa’nın en büyüğü olan Karapınar Güneş Enerjisi Santrali 3,5 milyon güneş paneli ile yıllık 3 milyar kilovatsaat elektrik üretebiliyor.",7,88,291,12 B,[],[],[],https://pbs.twimg.com/profile_images/1665685804180557824/w7KK3v6Y_normal.jpg,https://twitter.com/TCEnerji/status/1750064772756746653,tweet_id:1750064772756746653
